UserID,EventID,SponsorshipAmount
79,213,25869
79,180,42610
80,195,15846
80,37,3968
81,67,26914
81,212,18283
81,122,22753
81,173,9047
81,62,49072
82,56,43365
82,58,43968
83,40,38458
83,25,15347
83,68,22015
84,7,9207
84,13,17473
84,37,24284
84,155,49650
86,44,42858
86,62,18741
87,209,49808
87,105,11345
87,23,26321
88,136,11329
89,92,30646
89,26,25739
90,154,34415
90,129,44771
91,79,15853
91,170,46296
92,27,22388
92,180,9481
92,37,28582
92,33,10815
93,57,34960
93,124,8245
94,41,41207
95,187,44258
96,104,39028
97,132,1953
97,13,47416
97,14,49135
97,37,7351
97,80,9860
98,84,24619
98,29,22354
98,65,8027
98,90,14586
99,32,6656
99,114,10074
99,77,47582
99,53,32157
100,43,9831
100,51,42576
100,151,20430
100,164,15948
100,157,6129
101,2,37549
101,209,39560
102,114,1034
102,148,28336
102,87,32543
102,146,12652
104,31,11136
104,141,46494
104,179,15814
105,136,15720
106,187,49650
106,96,15148
107,178,15541
108,5,35997
108,37,9149
108,78,1081
108,200,44537
109,11,42977
109,136,21527
109,114,5740
110,23,19965
110,107,2534
111,37,37442
111,186,21001
112,201,36598
112,137,33592
112,92,16620
112,139,47449
112,133,14653
113,209,27908
113,154,17620
113,43,47885
113,54,39045
113,135,37418
114,161,24431
114,32,20896
114,194,1556
114,171,10963
114,75,38760
115,147,25779
115,151,8220
117,155,27108
117,116,37914
117,6,45427
118,110,16518
118,26,11449
118,100,5654
119,139,15230
119,209,30325
119,157,25497
120,180,47644
120,132,42241
120,99,45792
121,58,23949
121,195,35269
121,48,21715
121,170,20833
121,85,27964
122,14,40146
122,70,44510
123,25,44310
123,158,44584
123,109,31806
126,140,9997
126,149,2989
127,121,15536
127,59,31684
127,156,43706
127,54,34527
128,20,11258
128,91,37131
128,171,27600
128,132,26607
128,12,44523
129,72,49838
130,60,15726
130,62,14982
130,45,46474
130,93,21919
131,194,45600
131,188,5301
131,210,41186
131,86,36169
132,77,45243
132,28,40064
132,118,30358
132,148,29009
132,139,30948
133,16,49509
133,187,12004
136,180,43597
136,202,9657
137,132,26866
138,50,10741
138,65,30515
139,34,15308
140,72,8155
140,184,41645
140,198,8651
141,210,39509
141,171,35949
141,180,7092
141,161,3453
142,49,25830
142,195,12231
143,217,44430
143,45,19775
143,18,28953
143,140,38447
144,190,17008
144,136,31082
144,168,3730
144,112,36049
145,216,23390
145,150,18000
145,175,38529
145,124,35141
145,17,18642
146,108,35586
147,195,21302
147,60,36720
147,58,13269
148,61,26584
148,16,16789
149,209,32155
149,31,13031
149,179,39063
149,32,15054
149,85,29127
150,76,1007
150,187,10763
151,102,15383
152,43,49882
152,104,32192
152,193,43627
152,96,13977
152,70,12811
154,139,44729
154,18,45482
155,44,20300
156,161,42210
156,33,38405
156,141,27839
157,176,27099
157,94,25806
157,189,19956
157,33,4469
157,93,4502
158,131,34951
158,175,20702
158,166,42020
158,23,49448
158,117,10766
159,168,27453
159,187,36085
160,110,49147
160,142,5828
160,63,33673
160,99,2105
161,178,8525
161,134,19790
161,35,29962
161,76,37089
161,70,21190
162,53,42675
162,11,21195
163,76,34471
163,45,41020
163,213,47331
165,69,16218
165,47,47473
166,134,14245
166,108,29457
166,75,48612
167,165,3664
167,53,15938
167,103,39939
167,141,10062
167,216,12107
168,216,1078
169,208,3884
169,181,16905
169,211,47469
169,63,10575
170,181,23328
170,82,11270
170,190,1134
170,47,40799
170,9,13956
172,143,41099
172,43,4428
172,31,4233
172,196,24883
173,199,6266
173,9,18808
173,205,27105
173,37,4771
175,151,21314
175,123,19490
175,38,17899
175,162,46077
175,109,19754
176,12,27697
178,79,11093
178,8,31206
178,45,35433
178,199,10968
179,41,15909
180,149,22590
180,19,46194
180,212,28018
182,143,37198
182,24,44881
182,15,20808
182,146,46582
183,190,10172
184,54,18517
184,118,45394
185,178,28584
185,125,42745
185,160,38223
187,64,21470
187,51,47123
188,108,15844
188,142,12986
188,217,17006
189,74,31169
189,142,41500
189,137,19250
189,85,24688
189,217,40336
190,74,6666
190,199,34837
191,199,40301
191,105,21352
191,90,14218
192,111,16813
192,18,35292
192,158,7962
193,205,37585
194,94,16468
195,35,16041
195,184,8608
195,58,45527
195,148,10990
196,204,11244
196,13,16557
197,52,10895
197,81,48820
197,173,17253
198,33,4998
199,136,19533
199,79,16213
200,185,13538
200,119,26285
200,112,11738
